PRODUTO;ANO;REGIÃO;ESTADO;PRODUTOR;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
BIODIESEL;2005;REGIÃO SUDESTE;MINAS GERAIS;ABDIESEL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;ADM (RONDONOPOLIS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;SANTA CATARINA;ADM (JOAÇABA);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;AGRENCO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORTE;PARÁ;AGROPALMA;m3;0;0;0;13,1;14;21,6;0;25,9;0;20,2;241,3;174,3;510,4
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;AGROSOJA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;ALIANÇA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORTE;RONDÔNIA;AMAZONBIO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;ARAGUASSU;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;BEIRA RIO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;PARANÁ;BIGFRANGO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;JBS (EX-BRACOL EX-BERTIN);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;JBS (EX-BRACOL EX-BERTIN);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;BIANCHINI;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;BIO BRAZILIAN;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;GOIÁS;BINATURAL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;BIOCAR;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;BIO OLEO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;BIOCAMP;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;PARANÁ;BIOLIX;m3;0;0;0;0;6,45;1,212;3,078;1,1;0;13,73;0;0;25,57
BIODIESEL;2005;REGIÃO CENTRO-OESTE;GOIÁS;BIONASA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;MINAS GERAIS;B 100 (EX-BIOMINAS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;PARANÁ;BIOPAR BIOENERGIA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;BIOPAR PARECIS;m3;0;0;0;0;0;0;0;0;;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;BIO PETRO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;MINAS GERAIS;BIOSEP;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORTE;TOCANTINS;BIOTINS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;BIOVERDE (EX-BIOPETROSUL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;BIO VIDA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;BOCCHI;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;PIAUÍ;BRASIL ECODIESEL (FLORIANO);m3;0;0;0;0;0;0;1,5;2;2;0;40;110,8695652;156,3695652
BIODIESEL;2005;REGIÃO NORDESTE;CEARÁ;BRASIL ECODIESEL (CRATEUS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;BAHIA;BRASIL ECODIESEL (IRAQUARA);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORTE;TOCANTINS;BRASIL ECODIESEL (PORTO NACIONAL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;BRASIL ECODIESEL (ROSARIO DO SUL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;MARANHÃO;BRASIL ECODIESEL (SÃO LUIS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;BARRALCOOL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;BSBIOS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;PARANÁ;BSBIOS MARIALVA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;BUNGE;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;CAIBIENSE;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;CAMERA (IJUI);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;CAMERA (ROSARIO DO SUL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;GOIÁS;CARAMURU (SÃO SIMÃO);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;GOIÁS;CARAMURU (IPAMERI);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;CARAMURU (SORRISO);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;CARGILL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;RIO DE JANEIRO;CESBRA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;CLV;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;BAHIA;COMANCHE (EX-IBR);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA BIOCOMBUSTÍVEIS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;DELTA CUIABA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;GRUPAL (EX-COOAMI);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;COOMISA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (LUCAS DO RIO VERDE);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERBIO (CUIABA);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;COOPERFELIZ;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORTE;PARÁ;DVH CHEMICAL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;FRIGOL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;COFCO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;CEARÁ;NUTEC;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;OLEOPLAN;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;RIO DE JANEIRO;OLFAR;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;RIO GRANDE DO SUL;OLFAR;m3;0;0;0;0;0;0;0;0;0;0;;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;ORLANDIA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORTE;RONDÔNIA;OURO VERDE;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;CEARÁ;PETROBRAS (QUIXADA);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETROBRAS (GUAMARE);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO NORDESTE;BAHIA;PETROBRAS (CANDEIAS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;MINAS GERAIS;PETROBRAS (MONTES CLAROS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUL;PARANÁ;POTENCIAL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;PRISMA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO CENTRO-OESTE;MATO GROSSO;RENOBRAS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;SÃO PAULO;BIOCAPITAL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2005;REGIÃO SUDESTE;MINAS GERAIS;SOYMINAS;m3;0;0;7,8;0;5,3;0;2,6;28,12;0;0;0;0;43,82
